Grouping,"Lead Request Users","Lead Users",Leads,Leads/LU,"Unreconciled Publisher Lead Revenue","Clickout Impressions",Clickouts,"Clickthrough Rate","Unreconciled Publisher Clickout Revenue","Unreconciled Publisher Total Revenue","Source Code","Tracking Code","Adult Lead Request Users","Adult Lead Users","Adult Leads","Adult Leads / LU","Adult Unreconciled Publisher Lead Revenue","Adult Clickouts","Adult Clickout Revenue","High School Lead Request Users","High School Lead Users","High School Leads","High School Leads / LU","High School Unreconciled Publisher Lead Revenue","High School Clickouts","High School Clickout Revenue"
"2017-12-31 Sun",6,2,2,1,52.65,38,12,0.31579999999999997,32.45,85.1,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-24793290400_var-b_,,3,2,2,1,52.65,0,0,3,0,0,,0,0,0
"2017-12-31 Sun",0,0,0,0,0,3,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-3211778843_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-31 Sun",4,0,0,0,0,16,5,0.3125,9.42,9.42,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-33096851_var-b_,,2,0,0,,0,5,9.42,2,0,0,,0,0,0
"2017-12-31 Sun",2,0,0,0,0,10,3,0.3,7.38,7.38,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-52729527542_var-b_,,1,0,0,,0,0,0,1,0,0,,0,0,0
"2017-12-31 Sun",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-18081464408_dv-m_kw-kwd-133915430888_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-31 Sun",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-18081464408_dv-m_kw-kwd-133915435928_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-31 Sun",0,0,0,0,0,4,2,0.5,4.03,4.03,sa-B0D889DD-_pb-g2_cp-300306968_ag-18081464408_dv-m_kw-kwd-24793077640_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-31 Sun",0,0,0,0,0,2,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-29436539168_dv-m_kw-kwd-104968009481_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,2,1,0.5,6.13,6.13,sa-B0D889DD-_pb-b1_cp-277140607_ag-1210562331781267_dv-c_kw-75660169872153_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,2,1,0.5,1.01,1.01,sa-B0D889DD-_pb-b1_cp-277140607_ag-1210562331781267_dv-c_kw-75660169872221_var-b_,,1,0,0,,0,1,1.01,0,0,0,,0,0,0
